output_label,periodo_historico,periodo_atual,secao,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,tkm_atual,preco_atual,mult_atual,data_atualizacao
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-SAO,SAO-RIO,leito individual,MANHA,67.8,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-VIX,RIO-VIX,semi leito,MANHA,76.23,103.12,1.093575,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-VIX,VIX-RIO,semi leito,MANHA,70.4,97.93,1.071428571428571,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,SAO-SJK,SAO-SJK,semi leito,MANHA,,26.9,1.1707591549295773,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,SAO-SJK,SJK-SAO,semi leito,MANHA,22.23,36.9,1.3239119743406984,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,ANG-BHZ,ANG-BHZ,semi leito,NOITE,,162.36,1.1147065217391299,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,ANG-BHZ,BHZ-ANG,semi leito,NOITE,151.05,202.55,1.0858899782135059,2026-06-11 13:00:44.652221
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,ARB-SAO,ARB-SAO,leito individual,NOITE,117.45,,1.0335466403162066,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,ARB-SAO,ARB-SAO,semi leito,NOITE,115.9,127.9,1.0335466403162066,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,ARB-SAO,ARB-SAO,leito,NOITE,117.45,,1.0335466403162066,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,ARB-SAO,SAO-ARB,leito individual,NOITE,114.79,,1.076856150793649,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,ARB-SAO,SAO-ARB,leito,NOITE,114.79,,1.076856150793649,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,ARB-SAO,SAO-ARB,semi leito,NOITE,99.4,125.9,1.076856150793649,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BAT-SAO,BAT-SAO,semi leito,NOITE,89.9,164.9,1.1541353500639393,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BAT-SAO,SAO-BAT,semi leito,NOITE,121.9,167.11,1.3522587343358392,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-BSB,BHZ-BSB,semi leito,NOITE,98.57,134.89,1.0760733532934108,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-BSB,BHZ-BSB,leito individual,NOITE,156.83,,1.0760733532934108,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-BSB,BHZ-BSB,leito,NOITE,156.83,,1.0760733532934108,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-BSB,BSB-BHZ,leito individual,NOITE,157.36,,1.0639034836065562,
