data_julho_2026,data_ref_julho_2025,eixo_sentido,rota_principal,antecedencia,pax_atual,grupos_atual,cash_atual,gmv_atual,pax_julho25,grupos_julho25,cash_julho25,gmv_julho25,ticket_medio_atual,lf_atual,yield_atual,ticket_medio_julho25,lf_julho25
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,41,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,40,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,40,26,5,3176.55,3395.4,2,2,157.8,157.8,122.17500000000001,0.1,0.221,78.9,0.011
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,39,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,39,27,5,3390.45,3609.3,4,2,519.6,519.6,125.57222222222221,0.104,0.227,129.9,0.029
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,38,26,5,3280.29,3483.4,6,2,889.9,899.4,126.16499999999999,0.1,0.228,148.3166666666667,0.048
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,38,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,37,26,5,3280.29,3483.4,6,2,889.9,899.4,126.16499999999999,0.1,0.228,148.3166666666667,0.048
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,37,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,36,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,36,26,5,3280.29,3483.4,7,2,1086.8,1096.3,126.16499999999999,0.1,0.228,155.25714285714284,0.057
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,35,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,35,26,5,3280.29,3483.4,7,2,1086.8,1096.3,126.16499999999999,0.1,0.228,155.25714285714284,0.057
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,34,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,34,26,5,3280.29,3483.4,7,2,1086.8,1096.3,126.16499999999999,0.1,0.228,155.25714285714284,0.057
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,33,27,5,3516.19,3719.3,7,2,1086.8,1096.3,130.22925925925927,0.104,0.235,155.25714285714284,0.057
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,33,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,32,29,5,3797.99,4001.1,7,2,1086.8,1096.3,130.9651724137931,0.112,0.235,155.25714285714284,0.057
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,32,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,31,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,31,29,5,3797.99,4001.1,7,2,1086.8,1096.3,130.9651724137931,0.112,0.235,155.25714285714284,0.057
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,30,29,5,3797.99,4001.1,8,2,1252.32,1303.2,130.9651724137931,0.112,0.235,156.54,0.066
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,30,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.009,0.375,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,29,32,5,4202.1,4418.8,8,2,1252.32,1303.2,131.315625,0.124,0.235,156.54,0.066
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,29,2,5,419.8,419.8,3,1,212.7,212.7,209.9,0.008,0.375,70.89999999999999,0.037
