data_atual,data_ref_julho_2025,metrica,julho_2025,julho_2026
2026-07-15,2025-07-16,07. RPK,315166.0,391433.0
2026-07-15,2025-07-16,08. Load Factor,0.06628385294585905,0.060887630726652986
2026-07-15,2025-07-16,09. Ticket Médio,115.39668549905838,122.19855654761903
2026-07-15,2025-07-16,10. GMV,62695.90000000001,85383.79999999999
2026-07-16,2025-07-17,01. RASK,0.012459773670910789,0.01789890861762888
2026-07-16,2025-07-17,02. Yield,0.20901846774922422,0.2262608040953134
2026-07-16,2025-07-17,03. Buscas,5555.0,6681.0
2026-07-16,2025-07-17,04. Grupos Realizados,276.0,375.0
2026-07-16,2025-07-17,05. Pax Total,691.0,1155.0
2026-07-16,2025-07-17,06. ASK,6904371.0,8665249.0
2026-07-16,2025-07-17,07. RPK,398316.0,661439.0
2026-07-16,2025-07-17,08. Load Factor,0.05769041090057298,0.07633237082973611
2026-07-16,2025-07-17,09. Ticket Médio,120.48538350217076,129.5737835497835
2026-07-16,2025-07-17,10. GMV,86026.9,155098.5
2026-07-17,2025-07-18,01. RASK,0.015519881444277713,0.02012840496548729
2026-07-17,2025-07-18,02. Yield,0.22278925873439187,0.23541450412930057
2026-07-17,2025-07-18,03. Buscas,8719.0,9714.0
2026-07-17,2025-07-18,04. Grupos Realizados,335.0,437.0
2026-07-17,2025-07-18,05. Pax Total,983.0,1468.0
2026-07-17,2025-07-18,06. ASK,8094759.0,9798998.0
2026-07-17,2025-07-18,07. RPK,537702.0,803647.0
2026-07-17,2025-07-18,08. Load Factor,0.06642594300830945,0.08201318134772555
2026-07-17,2025-07-18,09. Ticket Médio,121.86595116988809,128.87613079019073
2026-07-17,2025-07-18,10. GMV,125629.70000000003,197238.19999999998
2026-07-18,2025-07-19,01. RASK,0.015522713889726685,0.01409233188945103
2026-07-18,2025-07-19,02. Yield,0.1963247757330414,0.20940045609651406
2026-07-18,2025-07-19,03. Buscas,3683.0,4032.0
2026-07-18,2025-07-19,04. Grupos Realizados,163.0,306.0
2026-07-18,2025-07-19,05. Pax Total,528.0,721.0
2026-07-18,2025-07-19,06. ASK,3759858.0,6398721.0
2026-07-18,2025-07-19,07. RPK,290502.0,417017.0
2026-07-18,2025-07-19,08. Load Factor,0.07726408816503176,0.06517193045297646
2026-07-18,2025-07-19,09. Ticket Médio,108.01655303030303,121.1144937586685
2026-07-18,2025-07-19,10. GMV,58363.2,90172.9
2026-07-19,2025-07-20,01. RASK,0.015548767615582236,0.018999143736903087
2026-07-19,2025-07-20,02. Yield,0.2480859564415525,0.26289361323224647
2026-07-19,2025-07-20,03. Buscas,6730.0,7898.0
2026-07-19,2025-07-20,04. Grupos Realizados,327.0,454.0
2026-07-19,2025-07-20,05. Pax Total,870.0,1270.0
2026-07-19,2025-07-20,06. ASK,7839721.0,9922184.0
2026-07-19,2025-07-20,07. RPK,482570.0,696299.0
2026-07-19,2025-07-20,08. Load Factor,0.06155448644154556,0.07017598141699448
2026-07-19,2025-07-20,09. Ticket Médio,137.6078620689655,144.13587401574802
2026-07-19,2025-07-20,10. GMV,121897.99999999999,188513.00000000006
2026-07-20,2025-07-21,01. RASK,0.009552741490946346,0.01276257199862779
2026-07-20,2025-07-21,02. Yield,0.21375586615347678,0.22069847914344012
2026-07-20,2025-07-21,03. Buscas,4614.0,4531.0
2026-07-20,2025-07-21,04. Grupos Realizados,258.0,371.0
2026-07-20,2025-07-21,05. Pax Total,480.0,849.0
2026-07-20,2025-07-21,06. ASK,6300495.0,8444779.0
2026-07-20,2025-07-21,07. RPK,274882.0,475390.0
2026-07-20,2025-07-21,08. Load Factor,0.04362863552784345,0.056293953932956685
2026-07-20,2025-07-21,09. Ticket Médio,122.41175,123.57815076560661
2026-07-20,2025-07-21,10. GMV,60187.00000000001,107777.09999999999
2026-07-21,2025-07-22,01. RASK,0.011448596078861466,0.013649669194745157
2026-07-21,2025-07-22,02. Yield,0.20082682309335587,0.2305587852470079
2026-07-21,2025-07-22,03. Buscas,2544.0,2457.0
2026-07-21,2025-07-22,04. Grupos Realizados,173.0,260.0
2026-07-21,2025-07-22,05. Pax Total,455.0,625.0
2026-07-21,2025-07-22,06. ASK,4668389.0,6088023.0
2026-07-21,2025-07-22,07. RPK,257927.0,354179.0
2026-07-21,2025-07-22,08. Load Factor,0.055249680350116494,0.058176357086693005
2026-07-21,2025-07-22,09. Ticket Médio,113.84320879120877,130.65452800000003
2026-07-21,2025-07-22,10. GMV,53446.5,83099.5
2026-07-22,2025-07-23,01. RASK,0.012518233137148822,0.014356392879481851
2026-07-22,2025-07-23,02. Yield,0.19628699434725652,0.22026830438157968
2026-07-22,2025-07-23,03. Buscas,2557.0,3164.0
2026-07-22,2025-07-23,04. Grupos Realizados,174.0,268.0
2026-07-22,2025-07-23,05. Pax Total,478.0,688.0
2026-07-22,2025-07-23,06. ASK,4574775.0,6343808.0
2026-07-22,2025-07-23,07. RPK,276326.0,404466.0
2026-07-22,2025-07-23,08. Load Factor,0.060402096277959026,0.06375760426545066
2026-07-22,2025-07-23,09. Ticket Médio,113.47112970711298,129.49279069767442
2026-07-22,2025-07-23,10. GMV,57268.100000000006,91074.20000000001
2026-07-23,2025-07-24,01. RASK,0.01021796732199093,0.013110009500342829
2026-07-23,2025-07-24,02. Yield,0.20251968828076264,0.21657926514066447
2026-07-23,2025-07-24,03. Buscas,3550.0,4310.0
2026-07-23,2025-07-24,04. Grupos Realizados,255.0,366.0
2026-07-23,2025-07-24,05. Pax Total,580.0,873.0
2026-07-23,2025-07-24,06. ASK,6466061.0,8412328.0
2026-07-23,2025-07-24,07. RPK,315797.0,489427.0
2026-07-23,2025-07-24,08. Load Factor,0.048839161894699105,0.05817973336275048
2026-07-23,2025-07-24,09. Ticket Médio,110.26743103448277,121.42009163802977
2026-07-23,2025-07-24,10. GMV,66070.0,110285.7
2026-07-24,2025-07-25,01. RASK,0.00974355897638454,0.012993902071415413
2026-07-24,2025-07-25,02. Yield,0.20746329493237067,0.2274220572198831
2026-07-24,2025-07-25,03. Buscas,5240.0,4604.0
2026-07-24,2025-07-25,04. Grupos Realizados,305.0,424.0
2026-07-24,2025-07-25,05. Pax Total,599.0,953.0
2026-07-24,2025-07-25,06. ASK,7483826.0,9487812.0
