regional,slot,data,data_ref_julho_2025,metrica,julho_2025,atual
Reg. MG,geral,2026-07-12,2025-07-13,03. Grupos Realizados,152.0,190.0
Reg. MG,geral,2026-07-12,2025-07-13,04. Pax Total,417.0,565.0
Reg. MG,geral,2026-07-12,2025-07-13,05. ASK,3974469.0,4868166.0
Reg. MG,geral,2026-07-12,2025-07-13,06. RPK,230793.0,309329.0
Reg. MG,geral,2026-07-12,2025-07-13,07. Load Factor,0.05806888920255762,0.06354117751941901
Reg. MG,geral,2026-07-12,2025-07-13,08. Ticket Médio,142.09868105515588,150.884407079646
Reg. MG,geral,2026-07-12,2025-07-13,09. GMV,60703.30000000001,86882.5
Reg. MG,geral,2026-07-13,2025-07-14,01. RASK,0.012506091294031688,0.012439289178595967
Reg. MG,geral,2026-07-13,2025-07-14,02. Yield,0.21019773596401042,0.20559334922078332
Reg. MG,geral,2026-07-13,2025-07-14,03. Grupos Realizados,121.0,165.0
Reg. MG,geral,2026-07-13,2025-07-14,04. Pax Total,327.0,444.0
Reg. MG,geral,2026-07-13,2025-07-14,05. ASK,3197186.0,4332959.0
Reg. MG,geral,2026-07-13,2025-07-14,06. RPK,183831.0,255128.0
Reg. MG,geral,2026-07-13,2025-07-14,07. Load Factor,0.05749774958354002,0.05888077870111395
Reg. MG,geral,2026-07-13,2025-07-14,08. Ticket Médio,118.16776758409786,118.13653153153152
Reg. MG,geral,2026-07-13,2025-07-14,09. GMV,39984.3,53898.93000000001
Reg. MG,geral,2026-07-14,2025-07-15,01. RASK,0.01255650824699996,0.014290697863901936
Reg. MG,geral,2026-07-14,2025-07-15,02. Yield,0.2163691167649895,0.2160937522910221
Reg. MG,geral,2026-07-14,2025-07-15,03. Grupos Realizados,86.0,120.0
Reg. MG,geral,2026-07-14,2025-07-15,04. Pax Total,234.0,357.0
Reg. MG,geral,2026-07-14,2025-07-15,05. ASK,2348551.0,3191052.0
Reg. MG,geral,2026-07-14,2025-07-15,06. RPK,131709.0,204603.0
Reg. MG,geral,2026-07-14,2025-07-15,07. Load Factor,0.0560809622614114,0.06411772669326604
Reg. MG,geral,2026-07-14,2025-07-15,08. Ticket Médio,121.78529914529913,123.84714285714284
Reg. MG,geral,2026-07-14,2025-07-15,09. GMV,29489.6,45602.36
Reg. MG,geral,2026-07-15,2025-07-16,01. RASK,0.017594140227448363,0.017756642970529368
Reg. MG,geral,2026-07-15,2025-07-16,02. Yield,0.21731393847565594,0.21652937050199397
Reg. MG,geral,2026-07-15,2025-07-16,03. Grupos Realizados,87.0,121.0
Reg. MG,geral,2026-07-15,2025-07-16,04. Pax Total,329.0,439.0
Reg. MG,geral,2026-07-15,2025-07-16,05. ASK,2368010.0,3260025.0
Reg. MG,geral,2026-07-15,2025-07-16,06. RPK,187438.0,258031.0
Reg. MG,geral,2026-07-15,2025-07-16,07. Load Factor,0.07915422654465142,0.07915000651835492
Reg. MG,geral,2026-07-15,2025-07-16,08. Ticket Médio,123.80817629179332,127.26945330296128
Reg. MG,geral,2026-07-15,2025-07-16,09. GMV,41663.1,57887.100000000006
Reg. MG,geral,2026-07-16,2025-07-17,01. RASK,0.016345390567018586,0.02333855301024291
Reg. MG,geral,2026-07-16,2025-07-17,02. Yield,0.2199751253494947,0.24199186991869914
Reg. MG,geral,2026-07-16,2025-07-17,03. Grupos Realizados,136.0,171.0
Reg. MG,geral,2026-07-16,2025-07-17,04. Pax Total,445.0,748.0
Reg. MG,geral,2026-07-16,2025-07-17,05. ASK,3562564.0,4532209.0
Reg. MG,geral,2026-07-16,2025-07-17,06. RPK,256084.0,421398.0
Reg. MG,geral,2026-07-16,2025-07-17,07. Load Factor,0.07188193671748774,0.09297850121210209
Reg. MG,geral,2026-07-16,2025-07-17,08. Ticket Médio,126.58901123595506,136.33006684491977
Reg. MG,geral,2026-07-16,2025-07-17,09. GMV,58231.5,105775.20000000001
Reg. MG,geral,2026-07-17,2025-07-18,01. RASK,0.0237648982449679,0.028536957828449717
Reg. MG,geral,2026-07-17,2025-07-18,02. Yield,0.23768238934609573,0.24373736084158917
Reg. MG,geral,2026-07-17,2025-07-18,03. Grupos Realizados,151.0,189.0
Reg. MG,geral,2026-07-17,2025-07-18,04. Pax Total,678.0,976.0
Reg. MG,geral,2026-07-17,2025-07-18,05. ASK,3953318.0,4881158.0
Reg. MG,geral,2026-07-17,2025-07-18,06. RPK,377777.0,548296.0
Reg. MG,geral,2026-07-17,2025-07-18,07. Load Factor,0.09555947687486815,0.11232908256606322
Reg. MG,geral,2026-07-17,2025-07-18,08. Ticket Médio,132.43501474926256,136.92645491803276
