output_label,periodo_historico,periodo_atual,secao,data_atual,data_ref_julho_2025,metrica,julho_2025,julho_2026
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-13,2025-07-14,01. RASK,0.01127296942708217,0.012110795261375588
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-13,2025-07-14,02. Yield,0.2047477877853038,0.2016143150253159
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-13,2025-07-14,03. Buscas,5502.0,4717.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-13,2025-07-14,04. Grupos Realizados,270.0,375.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-13,2025-07-14,05. Pax Total,672.0,910.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-13,2025-07-14,06. ASK,6643396.0,8500526.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-13,2025-07-14,07. RPK,354622.0,498106.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-13,2025-07-14,08. Load Factor,0.05337962692574701,0.058597079757182084
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-13,2025-07-14,09. Ticket Médio,108.0477232142857,110.35747252747252
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-13,2025-07-14,10. GMV,74890.79999999999,102948.12999999998
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-14,2025-07-15,01. RASK,0.0107471064332427,0.01126163489689388
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-14,2025-07-15,02. Yield,0.195770366841353,0.20828441230030983
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-14,2025-07-15,03. Buscas,3415.0,2966.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-14,2025-07-15,04. Grupos Realizados,183.0,284.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-14,2025-07-15,05. Pax Total,458.0,597.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-14,2025-07-15,06. ASK,4714683.0,6611683.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-14,2025-07-15,07. RPK,251880.0,347601.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-14,2025-07-15,08. Load Factor,0.05342458867329999,0.05257375467033129
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-14,2025-07-15,09. Ticket Médio,107.66515283842794,121.27281407035176
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-14,2025-07-15,10. GMV,50669.200000000004,74458.36
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-15,2025-07-16,01. RASK,0.01419796840256396,0.014216207682359152
