regional,slot,data,data_ref_corpus_2025,data_ref_pascoa_2026,data_ref_maio_2026,metrica,corpus_2025,pascoa_2026,maio_2026,atual
Reg. MG,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,08. Ticket Médio,157.20186507936506,197.0412540192926,210.54767504488328,195.80855272727274
Reg. MG,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,09. GMV,282721.10000000003,132627.9,244117.7,281004.6
Reg. MG,extra,2026-06-04,2025-06-19,2026-04-03,2026-05-01,01. RASK,0.022998653587228315,,0.13923993558776165,0.029302876480541456
Reg. MG,extra,2026-06-04,2025-06-19,2026-04-03,2026-05-01,02. Yield,0.22984596676124847,,0.20436908969338044,0.27114069690992765
Reg. MG,extra,2026-06-04,2025-06-19,2026-04-03,2026-05-01,03. Grupos Realizados,4.0,,1.0,2.0
Reg. MG,extra,2026-06-04,2025-06-19,2026-04-03,2026-05-01,04. Pax Total,23.0,,43.0,22.0
Reg. MG,extra,2026-06-04,2025-06-19,2026-04-03,2026-05-01,05. ASK,51990.0,,15525.0,59100.0
Reg. MG,extra,2026-06-04,2025-06-19,2026-04-03,2026-05-01,06. RPK,4934.0,,10469.0,6084.0
Reg. MG,extra,2026-06-04,2025-06-19,2026-04-03,2026-05-01,07. Load Factor,0.09490286593575688,,0.6743317230273752,0.10294416243654822
Reg. MG,extra,2026-06-04,2025-06-19,2026-04-03,2026-05-01,08. Ticket Médio,49.30695652173913,,49.75674418604651,74.98272727272727
Reg. MG,extra,2026-06-04,2025-06-19,2026-04-03,2026-05-01,09. GMV,1195.7,,2161.7,1731.8
Reg. MG,extra,2026-06-06,2025-06-21,2026-04-04,2026-05-02,01. RASK,0.0064425557747761425,0.0930431325780163,,0.03665852997016544
Reg. MG,extra,2026-06-06,2025-06-21,2026-04-04,2026-05-02,02. Yield,0.14173622704507513,0.26529516994633273,,0.2687611851262676
Reg. MG,extra,2026-06-06,2025-06-21,2026-04-04,2026-05-02,03. Grupos Realizados,1.0,1.0,,2.0
Reg. MG,extra,2026-06-06,2025-06-21,2026-04-04,2026-05-02,04. Pax Total,2.0,15.0,,18.0
Reg. MG,extra,2026-06-06,2025-06-21,2026-04-04,2026-05-02,05. ASK,26356.0,25155.0,,73740.0
Reg. MG,extra,2026-06-06,2025-06-21,2026-04-04,2026-05-02,06. RPK,1198.0,8385.0,,10058.0
Reg. MG,extra,2026-06-06,2025-06-21,2026-04-04,2026-05-02,07. Load Factor,0.045454545454545456,0.3333333333333333,,0.13639815568212638
Reg. MG,extra,2026-06-06,2025-06-21,2026-04-04,2026-05-02,08. Ticket Médio,84.9,148.3,,150.17777777777778
Reg. MG,extra,2026-06-06,2025-06-21,2026-04-04,2026-05-02,09. GMV,169.8,2340.5,,2703.2
Reg. MG,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,01. RASK,0.11647716290333428,0.25674783171581755,0.19139431015154068,0.20455904233247976
Reg. MG,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,02. Yield,0.3041577609628449,0.46403963686519784,0.4612224339478249,0.4257843313045743
Reg. MG,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,03. Grupos Realizados,73.0,25.0,43.0,47.0
Reg. MG,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,04. Pax Total,1410.0,681.0,936.0,1168.0
Reg. MG,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,05. ASK,1888353.0,639561.0,1116796.0,1250789.0
Reg. MG,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,06. RPK,719202.0,336404.0,456041.0,591166.0
Reg. MG,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,07. Load Factor,0.3808620528047457,0.5259920476701988,0.4083476301849219,0.4726344731205663
Reg. MG,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,08. Ticket Médio,155.1424609929078,229.2287665198238,224.71831196581192,215.5044691780822
Reg. MG,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,09. GMV,219950.0,164205.9,213748.4,255860.2
Reg. MG,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,01. RASK,0.0,,0.04023629489603024,0.0063401995077082525
Reg. MG,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,02. Yield,,,0.3084782608695652,0.18440090429540318
Reg. MG,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,03. Grupos Realizados,1.0,,1.0,2.0
Reg. MG,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,04. Pax Total,0.0,,6.0,3.0
Reg. MG,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,05. ASK,19800.0,,21160.0,38595.0
Reg. MG,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,06. RPK,0.0,,2760.0,1327.0
Reg. MG,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,07. Load Factor,0.0,,0.13043478260869565,0.034382692058556805
Reg. MG,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,08. Ticket Médio,,,141.9,81.56666666666668
Reg. MG,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,09. GMV,0.0,,851.4,244.70000000000002
Reg. MG,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,01. RASK,0.06635008583901507,0.15393862226858995,0.11753021448413566,0.08368031570432527
Reg. MG,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,02. Yield,0.2112943258403382,0.32577691902077127,0.2659701677558209,0.23961110930587726
Reg. MG,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,03. Grupos Realizados,115.0,112.0,98.0,122.0
Reg. MG,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,04. Pax Total,1817.0,2613.0,2110.0,1992.0
Reg. MG,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,05. ASK,3058050.0,2991541.0,2667843.0,3267361.0
Reg. MG,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,06. RPK,929001.0,1355965.0,1137427.0,1077115.0
Reg. MG,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,07. Load Factor,0.30378868887035854,0.45326639347413256,0.42634705265639694,0.32965901227320765
Reg. MG,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,08. Ticket Médio,108.03117226197028,169.05553004209722,143.37518957345972,129.56261044176705
Reg. MG,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,09. GMV,202901.87999999998,460513.7,313552.16,273413.79999999993
Reg. MG,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,01. RASK,0.18292946112619118,0.1601028356539564,0.18236692863624207,0.20246810260616663
Reg. MG,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,02. Yield,0.2892628427941193,0.33321221299779863,0.34955779457680375,0.35247477516886727
Reg. MG,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,03. Grupos Realizados,150.0,137.0,136.0,139.0
Reg. MG,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,04. Pax Total,4686.0,3150.0,3408.0,3779.0
Reg. MG,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,05. ASK,3911361.0,3596807.0,3500152.0,3569649.0
Reg. MG,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,06. RPK,2406583.0,1632261.0,1745207.0,1947684.0
Reg. MG,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,07. Load Factor,0.6152802055345953,0.4538083361158939,0.49860891755558046,0.5456233932243758
Reg. MG,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,08. Ticket Médio,148.55634656423388,172.66326984126982,179.00549002347424,181.66432389521037
Reg. MG,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,09. GMV,715503.1600000001,575859.0,638311.9699999999,722740.0599999998
Reg. MG,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,01. RASK,0.049673674053131174,0.0425314257112502,0.05015711983664893,0.06709035122010089
Reg. MG,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,02. Yield,0.20026649265407737,0.21389060467288737,0.22295104891493112,0.23397765888802707
Reg. MG,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,03. Grupos Realizados,131.0,131.0,136.0,150.0
